Quotazioni Immobiliari : Valori di Mercato - Semestre 2025/1 - elaborazione del 21-FEB-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R3;AQ00002332;9;Magazzini;NORMALE;P;190;270;L;1,1;1,6;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R3;AQ00002332;5;Negozi;NORMALE;P;520;740;L;3,1;4,5;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R3;AQ00002332;6;Uffici;NORMALE;P;420;630;L;1,6;2;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R3;AQ00002332;8;Capannoni industriali;NORMALE;P;190;280;L;1,5;2,1;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R3;AQ00002332;7;Capannoni tipici;NORMALE;P;270;410;L;1,6;2,3;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R3;AQ00002332;10;Laboratori;NORMALE;P;290;430;L;2,1;2,9;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R4;AQ00002770;20;Abitazioni civili;NORMALE;P;420;630;L;1,6;2,3;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R4;AQ00002770;21;Abitazioni di tipo economico;NORMALE;P;370;550;L;1,3;1,8;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R4;AQ00002770;16;Autorimesse;NORMALE;P;130;190;L;,9;1,3;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R4;AQ00002770;13;Box;NORMALE;P;230;340;L;1,2;1,6;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R4;AQ00002770;14;Posti auto coperti;NORMALE;P;190;280;L;1;1,5;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R4;AQ00002770;15;Posti auto scoperti;NORMALE;P;90;120;L;,5;,7;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R4;AQ00002770;1;Ville e Villini;NORMALE;P;510;700;L;1,7;2,3;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R4;AQ00002770;9;Magazzini;NORMALE;P;280;420;L;1,1;1,6;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R4;AQ00002770;5;Negozi;NORMALE;P;480;720;L;3,1;4,5;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R4;AQ00002770;6;Uffici;NORMALE;P;420;620;L;1,6;2;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R4;AQ00002770;8;Capannoni industriali;NORMALE;P;190;280;L;1,5;2,1;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R4;AQ00002770;7;Capannoni tipici;NORMALE;P;230;350;L;1,6;2,3;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;R;R4;AQ00002770;10;Laboratori;NORMALE;P;280;420;L;2,1;2,9;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;B;B1;AQ00000064;20;Abitazioni civili;NORMALE;P;350;520;L;1;1,5;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;B;B1;AQ00000064;21;Abitazioni di tipo economico;NORMALE;P;280;420;L;,8;1,2;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;B;B1;AQ00000064;13;Box;NORMALE;P;250;370;L;1,3;1,8;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;B;B1;AQ00000064;14;Posti auto coperti;NORMALE;P;190;280;L;,8;1,2;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;B;B1;AQ00000064;15;Posti auto scoperti;NORMALE;P;90;110;L;,3;,4;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;B;B1;AQ00000064;1;Ville e Villini;NORMALE;P;410;600;L;1,3;1,8;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;B;B1;AQ00000064;9;Magazzini;NORMALE;P;190;280;L;,7;1,3;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;B;B1;AQ00000064;5;Negozi;NORMALE;P;650;930;L;2,5;3,8;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;B;B1;AQ00000064;6;Uffici;NORMALE;P;460;710;L;2;2,5;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;B;B1;AQ00000064;7;Capannoni tipici;NORMALE;P;190;280;L;,7;1,3;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;B;B1;AQ00000064;10;Laboratori;NORMALE;P;250;370;L;,9;1,6;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;R;R1;AQ00002350;20;Abitazioni civili;NORMALE;P;320;480;L;,9;1,3;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;R;R1;AQ00002350;21;Abitazioni di tipo economico;NORMALE;P;250;370;L;,7;1;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;R;R1;AQ00002350;13;Box;NORMALE;P;200;300;L;,9;1,3;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;R;R1;AQ00002350;14;Posti auto coperti;NORMALE;P;140;210;L;,5;,7;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;R;R1;AQ00002350;15;Posti auto scoperti;NORMALE;P;50;70;L;,2;,3;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;R;R1;AQ00002350;1;Ville e Villini;NORMALE;P;380;570;L;1,2;1,7;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;R;R1;AQ00002350;9;Magazzini;NORMALE;P;190;290;L;,7;1,3;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;R;R1;AQ00002350;5;Negozi;NORMALE;P;600;880;L;2,5;3,5;L;
SUD;ABRUZZO;AQ;13066001;N1AB; ;A018;ACCIANO;R;R1;AQ00002350;6;Uffici;NORMALE;P;350;530;L;1;1,4;L;
